Complexity,Loss,Equation
1,0.00047952245,"x0"
3,8.251715e-5,"x0 + -0.019925233"
5,2.3521632e-5,"(x0 + -0.1314328) * 1.0030535"
7,2.1648404e-5,"(0.9957069 - (x0 * -0.00010181162)) * x0"
9,2.0151674e-5,"(0.98699844 - (x0 * -0.00022094265)) * (x0 + 0.15917951)"
11,1.9309124e-5,"(x0 * (((0.9762498 - x0) * 0.9996259) + x0)) + 0.35897675"
13,1.9264953e-5,"(((x0 + -0.026446939) - (x0 * 0.99959356)) * x0) + (x0 + 0.40065083)"
15,1.9259907e-5,"(x0 * (((x0 + (x0 + 1.3820063)) + -0.4073211) - (x0 * 1.9996092))) - -0.38029104"
17,1.915281e-5,"(x0 * (((x0 + (x0 + (x0 - -0.89607644))) + 0.077088036) - (x0 * 2.999588))) - -0.40763324"
19,1.901599e-5,"(x0 * (((-2.9995842 * x0) - x0) + (x0 + ((x0 + (x0 - -0.97290486)) + x0)))) - -0.4119823"
21,1.896303e-5,"(x0 * ((x0 + ((0.077088036 - (x0 * 2.999588)) - x0)) + (x0 + (x0 + (x0 - -0.89607644))))) - -0.40763324"
25,1.8949137e-5,"(((((0.075425334 - (x0 * 2.9995868)) - x0) + (x0 + ((x0 + x0) + (x0 + (x0 - -0.8976781))))) - x0) * x0) - -0.40800178"
29,1.8944185e-5,"x0 + ((((((x0 + (((0.077088036 - (x0 * 2.999588)) - x0) + x0)) + x0) + (((x0 - -0.89607644) + x0) - x0)) * x0) - x0) - -0.40763324)"
